    57/249      1.8G   0.01693  0.004018   0.01861   0.03956       133       224     0.817    0.9057    0.9293    0.8481    0.0202  0.008809   0.04526
    58/249      1.8G   0.01686   0.00391   0.01851   0.03928       141       224    0.9215    0.8909    0.9496    0.8666   0.01977   0.01026   0.03436
    59/249      1.8G   0.01709  0.003987   0.01838   0.03946       131       224    0.8697    0.9028    0.9437    0.8621   0.02002   0.01004   0.04339
    60/249      1.8G    0.0166   0.00401   0.01823   0.03884       137       224    0.8803    0.9605     0.971    0.8912   0.01998   0.01056   0.04509
    61/249      1.8G   0.01655  0.003837   0.01809   0.03847       133       224    0.9238    0.9452    0.9787    0.8912   0.02243  0.009793   0.03861
    62/249      1.8G   0.01626  0.003842   0.01801   0.03811       124       224    0.9483    0.9419    0.9759    0.8937   0.02008   0.01064   0.03673
    63/249      1.8G   0.01643  0.003794   0.01835   0.03857       129       224    0.9163    0.9285    0.9601    0.8771   0.01899   0.01024   0.05351
    64/249      1.8G   0.01649  0.003925   0.01801   0.03842       129       224    0.9295    0.9402      0.97    0.8905   0.02014   0.01071   0.05347
    65/249      1.8G   0.01633   0.00392   0.01783   0.03809       159       224    0.9624    0.9596    0.9756    0.8961   0.02047   0.01091    0.0418
    66/249      1.8G   0.01582  0.003802   0.01798    0.0376       156       224    0.9159    0.9515    0.9729    0.8929   0.02209   0.01148   0.03951
    67/249      1.8G   0.01604  0.003876   0.01816   0.03808       141       224    0.9575    0.9537    0.9825    0.9024   0.01849   0.01035   0.04195
    68/249      1.8G    0.0162  0.003723   0.01749   0.03742       131       224    0.9219    0.9634    0.9802    0.9044   0.01908   0.01095   0.03979
    69/249      1.8G    0.0161  0.003709   0.01709    0.0369       143       224    0.9545    0.9393    0.9863    0.8997   0.01849   0.01121   0.04879
    70/249      1.8G   0.01573  0.003718   0.01694   0.03639       136       224    0.9349    0.9615    0.9831    0.9138   0.01692   0.01165   0.03117
    71/249      1.8G     0.016   0.00362    0.0173   0.03692       143       224    0.9217    0.9481    0.9715    0.8999   0.01656   0.01109   0.03969
    72/249      1.8G   0.01528  0.003751   0.01735   0.03638       132       224    0.9301    0.9025    0.9769    0.9007    0.0176   0.01092   0.04663
    73/249      1.8G    0.0153  0.003675   0.01692   0.03589       151       224    0.9209    0.9539     0.985    0.9053   0.01636   0.01203   0.03743
    74/249      1.8G   0.01566  0.003593   0.01678   0.03603       141       224    0.9681    0.9257    0.9832    0.9133   0.01738   0.01112   0.03842
    75/249      1.8G   0.01524  0.003619   0.01707   0.03594       132       224    0.9319    0.9137    0.9773    0.9068   0.01763   0.01185   0.07061
    76/249      1.8G     0.016  0.003625   0.01646   0.03609       150       224    0.9268    0.9135    0.9689    0.8915   0.01853   0.01194   0.04857
    77/249      1.8G   0.01534  0.003695   0.01697   0.03601       121       224    0.9494    0.9694    0.9857     0.906   0.01677   0.01139   0.06295
    78/249      1.8G   0.01543  0.003611   0.01633   0.03536       137       224    0.9695    0.9723    0.9921    0.9208   0.01618   0.01142   0.06726
    79/249      1.8G    0.0155  0.003599   0.01631    0.0354       131       224    0.9732    0.9563    0.9885    0.9092   0.01571   0.01119    0.0408
    80/249      1.8G   0.01537  0.003664   0.01681   0.03585       139       224    0.9548    0.9297    0.9792    0.9004   0.01532   0.01118   0.06486
    81/249      1.8G   0.01482   0.00364   0.01577   0.03422       146       224    0.9469    0.9564    0.9821    0.9063   0.01755   0.01156   0.04062
    82/249      1.8G   0.01506  0.003582   0.01623   0.03487       143       224     0.962    0.9388    0.9894    0.9179   0.01477   0.01071   0.03804
    83/249      1.8G   0.01512  0.003561   0.01629   0.03497       139       224    0.9619     0.938    0.9859    0.9054   0.01783   0.01206   0.06511
    84/249      1.8G   0.01508  0.003464   0.01651   0.03505       143       224    0.9199     0.942    0.9706    0.8995   0.01637    0.0106    0.0713
    85/249      1.8G   0.01474  0.003574   0.01608   0.03439       111       224    0.9559    0.9715    0.9854    0.9188   0.01684   0.01092   0.04522
    86/249      1.8G   0.01539  0.003593   0.01539   0.03437       154       224    0.9483    0.9728    0.9883    0.9208   0.01747   0.01177   0.06228
