               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
50,0.67452,0.7842,1.1887,0.88596,0.94251,0.96644,0.88994,0.89759,0.55882,0.40304,1.1525,0.0080596,0.0080596,0.0080596
25,0.73324,0.9286,1.2236,0.90631,0.93573,0.96148,0.88944,0.896644,0.51961,0.4685,1.1282,0.0090496,0.0090496,0.0090496
38,0.69292,0.82924,1.2055,0.90193,0.90953,0.95905,0.88951,0.896464,0.53922,0.44993,1.1384,0.0085348,0.0085348,0.0085348
33,0.70736,0.86109,1.2029,0.90382,0.9401,0.95607,0.88931,0.895986,0.49987,0.45357,1.1177,0.0087328,0.0087328,0.0087328
40,0.68839,0.81787,1.2015,0.90767,0.88236,0.95441,0.88939,0.895892,0.5161,0.46433,1.1251,0.0084556,0.0084556,0.0084556
54,0.66314,0.75453,1.1872,0.89612,0.91391,0.95057,0.88786,0.894131,0.49588,0.48028,1.1156,0.0079012,0.0079012,0.0079012
53,0.66909,0.76218,1.1874,0.92492,0.86632,0.946,0.88773,0.893557,0.45595,0.44367,1.0877,0.0079408,0.0079408,0.0079408
48,0.68525,0.78899,1.1892,0.86182,0.90549,0.94864,0.88729,0.893425,0.4966,0.47823,1.1193,0.0081388,0.0081388,0.0081388
36,0.69862,0.83346,1.1981,0.93292,0.87956,0.95121,0.88501,0.89163,0.48091,0.43329,1.1066,0.008614,0.008614,0.008614
32,0.72024,0.88044,1.2145,0.88207,0.90206,0.94544,0.87679,0.883655,0.52539,0.47288,1.131,0.0087724,0.0087724,0.0087724
44,0.68233,0.77046,1.1901,0.89259,0.83347,0.94151,0.87445,0.881156,0.49724,0.56985,1.1106,0.0082972,0.0082972,0.0082972
30,0.71714,0.88832,1.2168,0.90146,0.90395,0.94794,0.86572,0.873942,0.55674,0.47049,1.1601,0.0088516,0.0088516,0.0088516
31,0.71869,0.87645,1.2037,0.92729,0.89588,0.94269,0.86423,0.872076,0.54839,0.46209,1.1392,0.008812,0.008812,0.008812
28,0.71199,0.90084,1.202,0.858,0.91252,0.93199,0.86164,0.868675,0.51618,0.54067,1.1287,0.0089308,0.0089308,0.0089308
26,0.73016,0.91124,1.2121,0.85748,0.9032,0.93058,0.86087,0.867841,0.54655,0.51993,1.151,0.00901,0.00901,0.00901
35,0.709,0.86679,1.214,0.82686,0.84767,0.91968,0.85981,0.865797,0.48475,0.62901,1.113,0.0086536,0.0086536,0.0086536
27,0.72068,0.90206,1.2131,0.8388,0.90397,0.92101,0.85498,0.861583,0.50565,0.63888,1.1175,0.0089704,0.0089704,0.0089704
15,0.80301,1.1011,1.2531,0.82492,0.86651,0.90885,0.8363,0.843555,0.56246,0.65159,1.1669,0.0094456,0.0094456,0.0094456
29,0.72377,0.89988,1.208,0.82435,0.85885,0.90321,0.83249,0.839562,0.52938,0.74625,1.1436,0.0088912,0.0088912,0.0088912
20,0.76535,1.0211,1.2384,0.80816,0.91762,0.90022,0.83129,0.838183,0.52567,0.6198,1.1401,0.0092476,0.0092476,0.0092476
34,0.70393,0.8565,1.198,0.76383,0.78209,0.89164,0.82894,0.83521,0.5004,0.95925,1.1385,0.0086932,0.0086932,0.0086932
21,0.76351,1.0064,1.2241,0.80989,0.86014,0.8909,0.82111,0.828089,0.50686,0.69641,1.1332,0.009208,0.009208,0.009208
24,0.74031,0.95866,1.2189,0.81637,0.85332,0.89258,0.82048,0.82769,0.56698,0.70286,1.1584,0.0090892,0.0090892,0.0090892
23,0.73779,0.95718,1.226,0.83244,0.87603,0.88702,0.81916,0.825946,0.54054,0.65201,1.1398,0.0091288,0.0091288,0.0091288
16,0.79708,1.0729,1.2419,0.8052,0.89495,0.89415,0.81697,0.824688,0.59654,0.78573,1.1903,0.009406,0.009406,0.009406
18,0.76718,1.0215,1.2445,0.81648,0.91755,0.88766,0.81459,0.821897,0.5379,0.59779,1.1471,0.0093268,0.0093268,0.0093268
12,0.82188,1.159,1.2487,0.77317,0.87523,0.88306,0.80912,0.816514,0.57781,0.66684,1.19,0.0095644,0.0095644,0.0095644
19,0.78202,1.018,1.233,0.79523,0.8141,0.87245,0.80482,0.811583,0.54878,0.73725,1.1601,0.0092872,0.0092872,0.0092872
22,0.74914,0.98137,1.2232,0.77769,0.84079,0.86785,0.80178,0.808387,0.54592,0.8571,1.1609,0.0091684,0.0091684,0.0091684
17,0.79398,1.0499,1.2514,0.80522,0.88319,0.86846,0.8003,0.807116,0.53566,0.67807,1.1394,0.0093664,0.0093664,0.0093664
14,0.8149,1.1303,1.2634,0.73873,0.89524,0.85639,0.78478,0.791941,0.56883,0.76699,1.1807,0.0094852,0.0094852,0.0094852
13,0.80636,1.1255,1.2577,0.75772,0.84159,0.84396,0.77392,0.780924,0.56018,0.80095,1.1731,0.0095248,0.0095248,0.0095248
7,0.92639,1.3796,1.3287,0.74499,0.83902,0.84202,0.76685,0.774367,0.60393,0.79922,1.213,0.0097624,0.0097624,0.0097624
9,0.86833,1.2841,1.2948,0.7932,0.81216,0.82915,0.76262,0.769273,0.5643,0.72329,1.1741,0.0096832,0.0096832,0.0096832
11,0.83023,1.1868,1.2787,0.77632,0.85583,0.83239,0.75463,0.762406,0.60281,0.81399,1.1866,0.009604,0.009604,0.009604
10,0.86102,1.2282,1.2808,0.71958,0.83653,0.81228,0.75462,0.760386,0.5799,0.87977,1.1885,0.0096436,0.0096436,0.0096436
